ymd,last_date,event_most_recent,v_max,v_min,transaction_count,med_delta_t,cum_time,recency
2022-04-23,2022-04-23 23:59:20,2022-04-23 16:00:42,197.53,176.87,86,1.0000000000000002,5160s,478.6333333333333
2022-04-24,2022-04-24 23:59:22,2022-04-24 16:10:47,196.49,180.85,62,1.0000000000000002,3720s,468.5833333333333
2022-04-25,2022-04-25 23:59:34,2022-04-25 16:00:54,196.03,168.42,98,1.0000000000000002,5880s,478.6666666666667
2022-04-26,2022-04-26 23:59:35,2022-04-26 21:03:50,197.99,159.42,227,1.0000000000000002,13620s,175.75
2022-04-27,2022-04-27 16:57:38,2022-04-27 16:01:23,197.8,181.26,60,1.0000000000000002,3600s,56.25
2022-04-22,2022-04-22 23:59:52,2022-04-22 14:23:56,193.25,193.25,1,-503.66666666666674,60s,575.9333333333333
2022-04-23,2022-04-23 23:59:41,2022-04-23 18:56:29,197.96,184.13,9,1.0000000000000002,540s,303.2
2022-04-24,2022-04-24 23:59:57,2022-04-24 18:53:43,197.68,190.41,20,1.0000000000000002,1200s,306.23333333333335
2022-04-25,2022-04-25 23:59:25,2022-04-25 18:56:14,197.99,168.94,144,1.0000000000000002,8640s,303.18333333333334
2022-04-26,2022-04-26 23:59:40,2022-04-26 18:42:27,197.64,147.92,192,1.0000000000000002,11520s,317.21666666666664
2022-04-27,2022-04-27 16:58:38,2022-04-27 16:33:32,197.99,187.09,6,1.0000000000000002,360s,25.1
